S.No.,Student Name,Roll Number,Email,Department,Subject,Subject Code,Date,Status,Verification Method,Face Confidence,Marked At
1,"Divya Sharma",CE2023077,"student77@local.com","Civil Engineering","Structural Analysis",CE201,21/6/2026,ABSENT,manual,N/A,21/6/2026, 11:00:08 pm
2,"Darsh Sharma",CE2023065,"student65@local.com","Civil Engineering","Structural Analysis",CE201,21/6/2026,PRESENT,face,0.5500,21/6/2026, 10:58:49 pm
3,"Harsh Sharma",CE2023061,"student61@local.com","Civil Engineering","Structural Analysis",CE201,21/6/2026,PRESENT,face,0.4400,21/6/2026, 10:40:03 pm
4,"Trisha Sharma",CE2023073,"student73@local.com","Civil Engineering","Structural Analysis",CE201,21/6/2026,ABSENT,manual,N/A,21/6/2026, 11:00:08 pm
5,"Rudra Sharma",CE2023069,"student69@local.com","Civil Engineering","Structural Analysis",CE201,21/6/2026,ABSENT,manual,N/A,21/6/2026, 11:00:08 pm
6,"Tara Sharma",ME2023060,"student60@local.com","Mechanical Engineering","Machine Design",ME401,19/6/2026,PRESENT,face,0.9739,19/6/2026, 10:04:18 am
7,"Tanvi Sharma",ME2023056,"student56@local.com","Mechanical Engineering","Machine Design",ME401,19/6/2026,PRESENT,face,0.7848,19/6/2026, 10:02:15 am
8,"Pooja Sharma",ME2023052,"student52@local.com","Mechanical Engineering","Machine Design",ME401,19/6/2026,PRESENT,face,0.9075,19/6/2026, 10:04:19 am
9,"Nikhil Sharma",ME2023048,"student48@local.com","Mechanical Engineering","Machine Design",ME401,19/6/2026,PRESENT,face,0.8607,19/6/2026, 10:01:53 am
10,"Kiara Sharma",ECE2023034,"student34@local.com","Electronics & Communication","VLSI Design",ECE302,19/6/2026,PRESENT,face,0.8000,19/6/2026, 11:01:16 am
11,"Dev Sharma",ME2023044,"student44@local.com","Mechanical Engineering","Machine Design",ME401,19/6/2026,PRESENT,face,0.8806,19/6/2026, 10:01:08 am
12,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/6/2026,PRESENT,face,0.9547,19/6/2026, 9:02:22 am
13,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/6/2026,PRESENT,face,0.8240,19/6/2026, 9:00:05 am
14,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/6/2026,ABSENT,manual,N/A,19/6/2026, 9:04:25 am
15,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/6/2026,LATE,face,0.8637,19/6/2026, 9:16:50 am
16,"Kavya Sharma",ECE2023039,"student39@local.com","Electronics & Communication","VLSI Design",ECE302,19/6/2026,LATE,face,0.8996,19/6/2026, 11:17:18 am
17,"Pihu Sharma",ECE2023038,"student38@local.com","Electronics & Communication","VLSI Design",ECE302,19/6/2026,PRESENT,face,0.8663,19/6/2026, 11:00:53 am
18,"Mahi Sharma",ECE2023035,"student35@local.com","Electronics & Communication","VLSI Design",ECE302,19/6/2026,LATE,face,0.9820,19/6/2026, 11:17:13 am
19,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/6/2026,PRESENT,face,0.8285,19/6/2026, 9:02:35 am
20,"Aisha Sharma",ECE2023031,"student31@local.com","Electronics & Communication","VLSI Design",ECE302,19/6/2026,LATE,face,0.9002,19/6/2026, 11:18:02 am
21,"Riya Sharma",ECE2023030,"student30@local.com","Electronics & Communication","VLSI Design",ECE302,19/6/2026,PRESENT,face,0.9397,19/6/2026, 11:00:27 am
22,"Aarohi Sharma",ECE2023027,"student27@local.com","Electronics & Communication","VLSI Design",ECE302,19/6/2026,PRESENT,face,0.7773,19/6/2026, 11:03:18 am
23,"Aadhya Sharma",ECE2023026,"student26@local.com","Electronics & Communication","VLSI Design",ECE302,19/6/2026,PRESENT,face,0.9019,19/6/2026, 11:01:45 am
24,"Myra Sharma",ECE2023023,"student23@local.com","Electronics & Communication","VLSI Design",ECE302,19/6/2026,PRESENT,face,0.9313,19/6/2026, 11:02:13 am
25,"Diya Sharma",ECE2023022,"student22@local.com","Electronics & Communication","VLSI Design",ECE302,19/6/2026,PRESENT,face,0.8381,19/6/2026, 11:04:10 am
26,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,19/6/2026,PRESENT,face,0.8857,19/6/2026, 1:02:24 pm
27,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,19/6/2026,PRESENT,face,0.8002,19/6/2026, 1:02:34 pm
28,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,19/6/2026,PRESENT,face,0.9484,19/6/2026, 1:03:38 pm
29,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,19/6/2026,PRESENT,face,0.8791,19/6/2026, 1:03:38 pm
30,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,19/6/2026,PRESENT,face,0.9220,19/6/2026, 1:00:50 pm
31,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,18/6/2026,PRESENT,face,0.7582,18/6/2026, 10:00:13 am
32,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,18/6/2026,ABSENT,manual,N/A,18/6/2026, 10:00:01 am
33,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,18/6/2026,PRESENT,face,0.9884,18/6/2026, 10:03:42 am
34,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,18/6/2026,PRESENT,face,0.8142,18/6/2026, 10:00:55 am
35,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,PRESENT,face,0.7769,18/6/2026, 12:01:28 pm
36,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,PRESENT,face,0.9824,18/6/2026, 12:00:09 pm
37,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,LATE,face,0.8076,18/6/2026, 12:24:55 pm
38,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,PRESENT,face,0.8455,18/6/2026, 12:01:48 pm
39,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,18/6/2026,PRESENT,face,0.9874,18/6/2026, 10:04:34 am
40,"Divya Sharma",CE2023077,"student77@local.com","Civil Engineering","Structural Analysis",CE201,18/6/2026,ABSENT,manual,N/A,18/6/2026, 12:00:32 pm
41,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,PRESENT,face,0.8285,18/6/2026, 12:01:31 pm
42,"Trisha Sharma",CE2023073,"student73@local.com","Civil Engineering","Structural Analysis",CE201,18/6/2026,PRESENT,face,0.9618,18/6/2026, 12:02:02 pm
43,"Rudra Sharma",CE2023069,"student69@local.com","Civil Engineering","Structural Analysis",CE201,18/6/2026,PRESENT,face,0.9501,18/6/2026, 12:03:51 pm
44,"Darsh Sharma",CE2023065,"student65@local.com","Civil Engineering","Structural Analysis",CE201,18/6/2026,PRESENT,face,0.8654,18/6/2026, 12:03:27 pm
