S.No.,Student Name,Roll Number,Email,Department,Subject,Subject Code,Date,Status,Verification Method,Face Confidence,Marked At
1,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,21/6/2026,ABSENT,manual,N/A,21/6/2026, 8:00:45 pm
2,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,21/6/2026,ABSENT,manual,N/A,21/6/2026, 8:00:45 pm
3,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,21/6/2026,PRESENT,face,0.9500,21/6/2026, 8:00:45 pm
4,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,21/6/2026,ABSENT,manual,N/A,21/6/2026, 8:00:45 pm
5,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,21/6/2026,ABSENT,manual,N/A,21/6/2026, 8:00:45 pm
6,"Shivam Kumar",249001001056,"mrshivamkumar9065@gmail.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,21/6/2026,PRESENT,face,0.7500,21/6/2026, 7:32:12 pm
7,"Shivam Kumar",249001001056,"mrshivamkumar9065@gmail.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,21/6/2026,PRESENT,face,0.7700,21/6/2026, 7:05:29 pm
8,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,PRESENT,face,0.9793,18/6/2026, 11:04:28 am
9,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,PRESENT,face,0.9138,18/6/2026, 11:03:16 am
10,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,PRESENT,face,0.7783,18/6/2026, 11:04:42 am
11,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,ABSENT,manual,N/A,18/6/2026, 11:02:00 am
12,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,ABSENT,manual,N/A,18/6/2026, 11:00:56 am
13,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,PRESENT,face,0.9214,15/6/2026, 1:00:40 pm
14,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,PRESENT,face,0.8470,15/6/2026, 1:00:56 pm
15,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,ABSENT,manual,N/A,15/6/2026, 1:01:02 pm
16,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,PRESENT,face,0.8377,15/6/2026, 1:03:51 pm
17,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,PRESENT,face,0.8001,15/6/2026, 1:04:28 pm
18,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,4/6/2026,PRESENT,face,0.8630,4/6/2026, 9:01:00 am
19,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,4/6/2026,LATE,face,0.7865,4/6/2026, 9:23:41 am
20,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,4/6/2026,PRESENT,face,0.8998,4/6/2026, 9:03:04 am
21,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,4/6/2026,LATE,face,0.9325,4/6/2026, 9:18:57 am
22,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,4/6/2026,ABSENT,manual,N/A,4/6/2026, 9:02:25 am
23,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,29/5/2026,PRESENT,face,0.9440,29/5/2026, 1:04:07 pm
24,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,29/5/2026,PRESENT,face,0.9692,29/5/2026, 1:02:57 pm
25,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,29/5/2026,LATE,face,0.7600,29/5/2026, 1:16:26 pm
26,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,29/5/2026,PRESENT,face,0.8620,29/5/2026, 1:02:20 pm
27,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,29/5/2026,PRESENT,face,0.9318,29/5/2026, 1:00:01 pm
