S.No.,Student Name,Roll Number,Email,Department,Subject,Subject Code,Date,Status,Verification Method,Face Confidence,Marked At
1,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,19/6/2026,PRESENT,face,0.8002,19/6/2026, 1:02:34 pm
2,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/6/2026,PRESENT,face,0.8285,19/6/2026, 9:02:35 am
3,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,19/6/2026,PRESENT,face,0.9220,19/6/2026, 1:00:50 pm
4,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,19/6/2026,PRESENT,face,0.8857,19/6/2026, 1:02:24 pm
5,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/6/2026,PRESENT,face,0.8240,19/6/2026, 9:00:05 am
6,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/6/2026,ABSENT,manual,N/A,19/6/2026, 9:04:25 am
7,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,19/6/2026,PRESENT,face,0.8791,19/6/2026, 1:03:38 pm
8,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/6/2026,LATE,face,0.8637,19/6/2026, 9:16:50 am
9,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/6/2026,PRESENT,face,0.9547,19/6/2026, 9:02:22 am
10,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,19/6/2026,PRESENT,face,0.9484,19/6/2026, 1:03:38 pm
11,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,PRESENT,face,0.7769,18/6/2026, 12:01:28 pm
12,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,18/6/2026,ABSENT,manual,N/A,18/6/2026, 10:00:01 am
13,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,PRESENT,face,0.9824,18/6/2026, 12:00:09 pm
14,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,18/6/2026,PRESENT,face,0.9874,18/6/2026, 10:04:34 am
15,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,LATE,face,0.8076,18/6/2026, 12:24:55 pm
16,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,PRESENT,face,0.8455,18/6/2026, 12:01:48 pm
17,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,18/6/2026,PRESENT,face,0.9884,18/6/2026, 10:03:42 am
18,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,18/6/2026,PRESENT,face,0.8142,18/6/2026, 10:00:55 am
19,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/6/2026,PRESENT,face,0.8285,18/6/2026, 12:01:31 pm
20,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,18/6/2026,PRESENT,face,0.7582,18/6/2026, 10:00:13 am
21,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,17/6/2026,PRESENT,face,0.9775,17/6/2026, 2:02:06 pm
22,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,17/6/2026,PRESENT,face,0.8022,17/6/2026, 2:02:32 pm
23,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,17/6/2026,PRESENT,face,0.9100,17/6/2026, 2:00:54 pm
24,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,17/6/2026,PRESENT,face,0.9520,17/6/2026, 2:02:30 pm
25,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,17/6/2026,PRESENT,face,0.8574,17/6/2026, 2:03:47 pm
26,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/6/2026,PRESENT,face,0.7735,16/6/2026, 11:03:26 am
27,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/6/2026,ABSENT,manual,N/A,16/6/2026, 11:00:30 am
